batch_units;stock_group;barra_id;comprimento_barra_mm;aproveitamento_mm;sobra_mm;part_id;item;perfil;material;comprimento_peca_mm;batch_unit
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-001;12000;12000;0;GL-04-U12;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;12
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-001;12000;12000;0;GL-04-U11;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;11
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-001;12000;12000;0;SB-06-U12;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;12
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-002;12000;12000;0;GL-04-U10;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;10
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-002;12000;12000;0;GL-04-U09;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;9
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-002;12000;12000;0;SB-06-U11;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;11
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-003;12000;12000;0;GL-04-U08;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;8
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-003;12000;12000;0;GL-04-U07;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;7
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-003;12000;12000;0;SB-06-U10;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;10
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-004;12000;12000;0;GL-04-U06;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;6
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-004;12000;12000;0;GL-04-U05;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;5
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-004;12000;12000;0;SB-06-U09;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;9
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-005;12000;12000;0;GL-04-U04;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;4
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-005;12000;12000;0;GL-04-U03;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;3
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-005;12000;12000;0;SB-06-U08;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;8
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-006;12000;12000;0;GL-04-U02;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;2
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-006;12000;12000;0;GL-04-U01;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;1
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-006;12000;12000;0;SB-06-U07;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;7
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-007;12000;12000;0;GL-03-U12;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;12
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-007;12000;12000;0;GL-03-U11;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;11
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-007;12000;12000;0;SB-06-U06;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;6
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-008;12000;12000;0;GL-03-U10;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;10
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-008;12000;12000;0;GL-03-U09;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;9
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-008;12000;12000;0;SB-06-U05;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;5
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-009;12000;12000;0;GL-03-U08;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;8
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-009;12000;12000;0;GL-03-U07;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;7
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-009;12000;12000;0;SB-06-U04;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;4
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-010;12000;12000;0;GL-03-U06;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;6
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-010;12000;12000;0;GL-03-U05;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;5
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-010;12000;12000;0;SB-06-U03;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;3
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-011;12000;12000;0;GL-03-U04;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;4
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-011;12000;12000;0;GL-03-U03;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;3
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-011;12000;12000;0;SB-06-U02;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;2
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-012;12000;12000;0;GL-03-U02;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;2
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-012;12000;12000;0;GL-03-U01;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;1
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-012;12000;12000;0;SB-06-U01;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;1
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-013;12000;12000;0;GL-02-U12;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;12
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-013;12000;12000;0;GL-02-U11;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;11
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-013;12000;12000;0;SB-05-U12;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;12
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-014;12000;12000;0;GL-02-U10;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;10
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-014;12000;12000;0;GL-02-U09;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;9
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-014;12000;12000;0;SB-05-U11;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;11
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-015;12000;12000;0;GL-02-U08;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;8
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-015;12000;12000;0;GL-02-U07;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;7
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-015;12000;12000;0;SB-05-U10;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;10
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-016;12000;12000;0;GL-02-U06;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;6
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-016;12000;12000;0;GL-02-U05;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;5
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-016;12000;12000;0;SB-05-U09;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;9
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-017;12000;12000;0;GL-02-U04;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;4
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-017;12000;12000;0;GL-02-U03;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;3
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-017;12000;12000;0;SB-05-U08;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;8
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-018;12000;12000;0;GL-02-U02;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;2
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-018;12000;12000;0;GL-02-U01;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;1
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-018;12000;12000;0;SB-05-U07;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;7
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-019;12000;12000;0;GL-01-U12;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;12
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-019;12000;12000;0;GL-01-U11;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;11
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-019;12000;12000;0;SB-05-U06;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;6
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-020;12000;12000;0;GL-01-U10;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;10
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-020;12000;12000;0;GL-01-U09;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;9
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-020;12000;12000;0;SB-05-U05;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;5
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-021;12000;12000;0;GL-01-U08;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;8
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-021;12000;12000;0;GL-01-U07;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;7
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-021;12000;12000;0;SB-05-U04;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;4
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-022;12000;12000;0;GL-01-U06;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;6
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-022;12000;12000;0;GL-01-U05;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;5
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-022;12000;12000;0;SB-05-U03;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;3
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-023;12000;12000;0;GL-01-U04;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;4
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-023;12000;12000;0;GL-01-U03;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;3
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-023;12000;12000;0;SB-05-U02;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;2
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-024;12000;12000;0;GL-01-U02;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;2
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-024;12000;12000;0;GL-01-U01;MONTANTE_GAIOLA;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;5900;1
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-024;12000;12000;0;SB-05-U01;BRACO_SUPORTE_FIXACAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;200;1
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-025;12000;11995;5;AR-005-U12;ARO_GAIOLA_PROTECAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;2199;12
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-025;12000;11995;5;AR-005-U11;ARO_GAIOLA_PROTECAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;2199;11
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-025;12000;11995;5;AR-005-U10;ARO_GAIOLA_PROTECAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;2199;10
12;BARRA CHATA ASTM A36 38x6 mm|ASTM A36;BARRA CH-025;12000;11995;5;AR-005-U09;ARO_GAIOLA_PROTECAO;BARRA CHATA ASTM A36 38x6 mm;ASTM A36;2199;9
